symbol,entry_time,entry_price,pnl_pct,exit_candles,exit_reason,range_position,distribution_score,entry_reason
BTC/USDT,223,90462.78,0.0,30,TIMEOUT_LOSS,0.8937719378861642,60,"upper_zone(0.89),near_top"
BTC/USDT,227,98886.58,0.04057830445749057,30,TIMEOUT_PROFIT,0.9784322199961177,60,"upper_zone(0.98),near_top"
BTC/USDT,231,91956.47,0.0,30,TIMEOUT_LOSS,0.6966542204568026,40,upper_zone(0.70)
BTC/USDT,235,96416.45,0.04071658026197811,30,TIMEOUT_PROFIT,0.8361047753137961,60,"upper_zone(0.84),near_top"
BTC/USDT,239,98573.35,0.015470376881784039,30,TIMEOUT_PROFIT,0.9186034446980708,60,"upper_zone(0.92),near_top"
BTC/USDT,243,101112.48,0.0433696315232303,30,TIMEOUT_PROFIT,0.7722531071337565,60,"upper_zone(0.77),near_top"
BTC/USDT,247,100001.68,0.05288307156439773,30,TIMEOUT_PROFIT,0.6828719195484667,60,"upper_zone(0.68),near_top"
BTC/USDT,251,106061.34,0.08808820442962537,30,TIMEOUT_PROFIT,0.8977019792385584,60,"upper_zone(0.90),near_top"
BTC/USDT,272,102222.38,0.06495220762811435,30,TIMEOUT_PROFIT,0.7145205888947018,60,"upper_zone(0.71),near_top"
BTC/USDT,281,100508.73,0.03491499320506783,30,TIMEOUT_PROFIT,0.8362188057286984,70,"upper_zone(0.84),near_top,vol_spike"
BTC/USDT,285,101337.81,0.065491427878696,30,TIMEOUT_PROFIT,0.7042318692561115,40,upper_zone(0.70)
BTC/USDT,289,103906.68,0.0730229326930665,30,TIMEOUT_PROFIT,0.7112070544017729,50,"upper_zone(0.71),vol_spike"
BTC/USDT,293,102069.33,0.1187598884993171,30,TIMEOUT_PROFIT,0.6226728665735075,40,upper_zone(0.62)
BTC/USDT,297,102427.07,0.125,28,TP4_HIT,0.6399108562617456,40,upper_zone(0.64)
BTC/USDT,317,98305.43,0.125,8,TP4_HIT,0.6134874443024417,60,"upper_zone(0.61),near_top"
BTC/USDT,327,94287.51,0.09919517176771345,30,TIMEOUT_PROFIT,0.7548247028932437,40,upper_zone(0.75)
BTC/USDT,349,87491.1,0.002116972469199764,30,TIMEOUT_PROFIT,0.6716680365392463,40,upper_zone(0.67)
BTC/USDT,353,84421.3,0.037500000000000006,30,TIMEOUT_LOSS,0.642785618842193,50,"upper_zone(0.64),rsi_bear"
BTC/USDT,367,83418.3,0.0,30,TIMEOUT_LOSS,0.6248152170105442,40,upper_zone(0.62)
BTC/USDT,371,83645.8,0.0,30,TIMEOUT_LOSS,0.6520186213632383,40,upper_zone(0.65)
BTC/USDT,375,85086.8,0.0,30,TIMEOUT_LOSS,0.754749802165839,80,"upper_zone(0.75),near_top,ema_bear"
